leader_id,company_id,name,title,tenure_since,years_at_company,advanced_degree,degree_institution,functional_expertise,internal_promotion
1,1,Sandra Kim,CEO,2019,5,YES,University of Texas,Healthcare Operations,NO
2,1,Mark Torres,CFO,2021,3,YES,Vanderbilt,Healthcare Finance,YES
3,1,Angela Davis,COO,2020,4,YES,Duke,Clinical Operations,NO
4,1,Raj Patel,VP Sales,2022,2,NO,,Sales,YES
5,1,Linda Wu,VP Clinical,2019,5,YES,UT Southwestern,Clinical Management,NO
6,2,Marcus Webb,CEO,2016,8,YES,Texas A&M,Supply Chain,NO
7,2,Carl Owens,CFO,2018,6,YES,Rice University,Logistics Finance,NO
8,2,Dianne Marsh,COO,2020,4,NO,,Operations,NO
9,2,Kevin Lin,VP Technology,2021,3,NO,,IT & Systems,NO
10,2,Sandra Pierce,VP Client Relations,2019,5,YES,Houston Baptist,Account Management,NO
11,3,Priya Nair,CEO,2020,4,YES,UT Austin,SaaS Product,YES
12,3,Ben Kohler,CTO,2020,4,YES,Carnegie Mellon,Engineering,YES
13,3,Sarah Chen,CFO,2023,1,NO,,Finance,NO
14,3,Victor Stone,VP Sales,2022,2,NO,,Enterprise Sales,NO
15,4,James Okafor,CEO,2018,6,YES,Georgia Tech,Workforce Solutions,NO
16,4,Tracy Mills,CFO,2020,4,YES,Emory,Finance,NO
17,4,Roberto Vega,COO,2021,3,NO,,Operations,NO
18,4,Alicia Hunt,VP Recruiting,2019,5,YES,UGA,Talent Acquisition,YES
19,4,Derek Shaw,VP Client Services,2022,2,NO,,Client Management,YES
20,5,Tom Rivera,CEO,2014,10,YES,Arizona State,Field Services,NO
21,5,Barbara Kline,CFO,2019,5,YES,U of Arizona,Finance,YES
22,5,Chris Mann,COO,2018,6,NO,,HVAC Operations,YES
23,5,Dave Simmons,VP Service,2020,4,NO,,Service Operations,NO
24,5,Janet Cole,VP Sales,2022,2,NO,,Sales,YES
25,6,Dr. Ana Costa,CEO,2019,5,YES,Vanderbilt Medical,Diagnostics,NO
26,6,Phil Grant,CFO,2021,3,YES,Belmont,Lab Finance,YES
27,6,Dr. Susan Park,Chief Medical Officer,2019,5,YES,Johns Hopkins,Clinical Lab,YES
28,6,Aaron White,VP Operations,2022,2,NO,,Lab Operations,YES
29,7,Lisa Park,CEO,2021,3,YES,CU Boulder,Retail & CPG,YES
30,7,Chris Walsh,CFO,2022,2,NO,,Retail Finance,NO
31,7,Maya Johnson,VP Merchandising,2021,3,YES,Colorado State,Category Management,NO
32,7,Ethan Brooks,VP Operations,2022,2,NO,,Retail Ops,NO
33,8,Dr. Brian Mills,CEO,2014,10,YES,Duke Dental,Dental Practice,NO
34,8,Jennifer Lake,CFO,2018,6,YES,UNC Chapel Hill,Healthcare Finance,NO
35,8,Dr. Karen Ross,Chief Dental Officer,2016,8,YES,UNC Dental,Clinical Dentistry,YES
36,8,Paul Lee,VP Operations,2020,4,NO,,Multi-Site Ops,NO
37,8,Allison Ford,VP Marketing,2021,3,NO,,Healthcare Marketing,YES
38,9,Derek Holt,CEO,2016,8,YES,Ohio State,Manufacturing,NO
39,9,Helen Price,CFO,2019,5,YES,Case Western,Industrial Finance,YES
40,9,Gary Young,COO,2017,7,YES,Ohio State,Plant Operations,NO
41,9,Mike Burns,VP Engineering,2020,4,YES,University of Dayton,Manufacturing Engineering,YES
